epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.409,0.81762,8.54845,1.11782,0.13666,0.11111,0.06133,0.04575,0.94358,7.52141,1.34959,2e-05,2e-05,2e-05
2,296.234,0.63023,6.88658,1.003,0.45943,0.66145,0.62374,0.46727,0.72457,6.24399,1.02452,5.8812e-05,5.8812e-05,5.8812e-05
3,473.938,0.52379,4.16312,0.91209,0.88626,1,0.984,0.83024,0.62881,5.60152,0.87736,9.604e-05,9.604e-05,9.604e-05
4,647.719,0.44413,3.74207,0.82435,0.9622,1,0.995,0.88699,0.49912,4.54421,0.75129,0.000131684,0.000131684,0.000131684
5,849.024,0.45335,2.46438,0.81996,0.92461,1,0.995,0.90115,0.40492,4.23598,0.73928,0.000165744,0.000165744,0.000165744
6,1048.18,0.48062,2.18506,0.82046,0.89774,1,0.995,0.8823,0.45981,4.42525,0.74984,0.00019822,0.00019822,0.00019822
7,1216.35,0.50045,2.12111,0.8041,0.9605,1,0.995,0.8991,0.48708,4.23019,0.74462,0.000229112,0.000229112,0.000229112
8,1395.08,0.55131,2.28275,0.8197,0.987,1,0.995,0.87902,0.52241,4.15902,0.75572,0.00025842,0.00025842,0.00025842
9,1555.36,0.5486,1.57975,0.85296,0.98221,1,0.995,0.89362,0.53279,4.32401,0.75263,0.000286144,0.000286144,0.000286144
10,1749.59,0.55328,1.36735,0.81755,0.88624,1,0.984,0.87111,0.49033,4.06214,0.74678,0.000312284,0.000312284,0.000312284
11,1914.9,0.4991,1.35959,0.82611,0.68035,1,0.75893,0.67333,0.46343,4.18106,0.75116,0.00033684,0.00033684,0.00033684
12,2102.14,0.45851,1.12932,0.83946,0.41775,0.88889,0.42083,0.37585,0.47953,5.18392,0.75331,0.000359812,0.000359812,0.000359812
13,2286.91,0.55676,1.40827,0.81669,0.53115,0.75667,0.49335,0.42383,0.4741,5.09085,0.7507,0.0003812,0.0003812,0.0003812
14,2465.58,0.53749,1.13183,0.83305,0.43513,0.66667,0.39538,0.35202,0.45633,5.15442,0.75804,0.000401004,0.000401004,0.000401004
15,2656.65,0.57255,1.03236,0.84868,0.30738,0.66667,0.29542,0.2715,0.43866,5.38801,0.75051,0.000419224,0.000419224,0.000419224
16,2841.65,0.56248,0.99821,0.85623,0.36885,1,0.37313,0.34622,0.46659,4.9736,0.75101,0.00043586,0.00043586,0.00043586
17,3014.36,0.48324,0.82704,0.82022,0.34391,1,0.38099,0.34395,0.46023,4.62007,0.75033,0.000450912,0.000450912,0.000450912
18,3197.91,0.48404,0.84527,0.83472,0.25918,1,0.26338,0.22775,0.49477,4.27921,0.75927,0.00046438,0.00046438,0.00046438
19,3377.59,0.38808,0.81136,0.77526,0.54439,0.79776,0.58797,0.50808,0.51406,2.86472,0.76349,0.000476264,0.000476264,0.000476264
20,3556.65,0.52305,0.81828,0.83633,0.86972,0.88889,0.87278,0.77887,0.53097,1.93716,0.76591,0.000486564,0.000486564,0.000486564
21,3735.62,0.47872,0.7132,0.84966,0.80238,0.66667,0.6841,0.61898,0.48328,2.01424,0.7548,0.00049528,0.00049528,0.00049528
22,3902.89,0.51132,0.8239,0.87485,0.95669,1,0.995,0.86891,0.48297,1.42801,0.74511,0.000502412,0.000502412,0.000502412
23,4076.35,0.58979,0.70836,0.83988,0.8955,1,0.995,0.8344,0.51945,1.18952,0.74362,0.00050796,0.00050796,0.00050796
24,4258.82,0.49173,0.63867,0.81054,0.23347,1,0.25586,0.23022,0.49425,3.27326,0.74959,0.000511924,0.000511924,0.000511924
25,4433.13,0.39571,0.61768,0.82889,0.13942,0.88889,0.13855,0.12393,0.66445,8.59022,0.85335,0.000514304,0.000514304,0.000514304
26,4611.88,0.47604,0.6244,0.80327,0.08865,0.88889,0.08758,0.07599,0.59864,13.9914,0.80937,0.0005151,0.0005151,0.0005151
27,4797.21,0.46709,0.56789,0.82511,0.07651,0.88889,0.07734,0.06433,0.60045,13.8092,0.77532,0.000514312,0.000514312,0.000514312
28,4968.38,0.42683,0.63428,0.83004,0.07651,0.88889,0.07734,0.06433,0.60045,13.8092,0.77532,0.00051194,0.00051194,0.00051194
29,5160.99,0.50608,0.56835,0.8402,0.10706,0.88889,0.11213,0.09574,0.5844,11.141,0.77261,0.000507984,0.000507984,0.000507984
30,5327.76,0.48465,0.50021,0.82608,0.15057,1,0.16583,0.13896,0.55747,7.74958,0.77795,0.000502444,0.000502444,0.000502444
31,5518.04,0.45213,0.56738,0.81311,0.15057,1,0.16583,0.13896,0.55747,7.74958,0.77795,0.00049532,0.00049532,0.00049532
32,5679.18,0.46208,0.61433,0.84002,0.24171,1,0.27136,0.23152,0.49802,4.66945,0.76758,0.000486612,0.000486612,0.000486612
33,5848.25,0.42382,0.52182,0.84909,0.97356,1,0.995,0.84614,0.55908,0.97399,0.78982,0.00047632,0.00047632,0.00047632
34,6024.15,0.43849,0.51998,0.82927,0.97356,1,0.995,0.84614,0.55908,0.97399,0.78982,0.000464444,0.000464444,0.000464444
